,source,estimate,norm,pvals,log10_pval
0,KEGG_ABC_TRANSPORTERS,0.541225790977478,1.6448094844818115,0.10000910565431673,0.9999604564460836
1,KEGG_ACUTE_MYELOID_LEUKEMIA,0.6496564149856567,2.705402135848999,0.006822174669203347,2.1660771654768385
2,KEGG_ADHERENS_JUNCTION,0.6285951733589172,3.1688270568847656,0.0015305543842999037,2.815151234258918
3,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.8407310843467712,2.8327507972717285,0.0046149348212520475,2.335834428326144
4,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.777988851070404,1.8302464485168457,0.06721309507958012,1.1725461054170543
5,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.7138724327087402,2.2907848358154297,0.0219758611142535,1.6580540982864351
6,KEGG_ALLOGRAFT_REJECTION,-0.830522358417511,-1.4330909252166748,0.15183185448158756,0.818637103445424
7,KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.7021604180335999,1.4269888401031494,0.15358311140194256,0.8136565383943547
8,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.38062456250190735,1.2141149044036865,0.22470384929925447,0.6483894878162672
9,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.6022297739982605,1.6268984079360962,0.10375867617749203,0.9839755779077647
10,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.6481641530990601,2.1408936977386475,0.03228261149573634,1.4910313403591118
11,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.6213675141334534,1.958019495010376,0.050227725178655196,1.299056490658469
12,KEGG_APOPTOSIS,0.6678051948547363,2.944387674331665,0.003235943839928424,2.4899990242108263
13,KEGG_ARACHIDONIC_ACID_METABOLISM,-0.7582494020462036,-1.4076876640319824,0.15922357621914962,0.7979926258961014
14,KEGG_ARGININE_AND_PROLINE_METABOLISM,-0.4987777769565582,-1.570557951927185,0.11628536336349296,0.9344749457229669
15,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.47548866271972656,1.6045371294021606,0.10859570703356176,0.9641873427811153
16,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,-0.4438951313495636,-1.0576409101486206,0.29021918394668567,0.5372738833978743
17,KEGG_ASTHMA,-0.4811643660068512,-0.9388871788978577,0.34778867255070123,0.45868456703956473
18,KEGG_AUTOIMMUNE_THYROID_DISEASE,-0.8304297924041748,-1.4330636262893677,0.1518396550828596,0.8186147914538013
19,KEGG_BASAL_CELL_CARCINOMA,0.8177691102027893,1.6613450050354004,0.09664417610742024,1.0148243119470464
20,KEGG_BASAL_TRANSCRIPTION_FACTORS,0.5273653864860535,1.6325350999832153,0.1025668105096697,0.9889931494031886
21,KEGG_BASE_EXCISION_REPAIR,-0.4372921586036682,-1.6537834405899048,0.09817152172801862,1.008014477081617
22,KEGG_BETA_ALANINE_METABOLISM,-0.4818654954433441,-1.2780717611312866,0.2012241247655575,0.6963199529179258
23,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.6166349053382874,1.919922947883606,0.05486763282107262,1.260683776361646
24,KEGG_BLADDER_CANCER,0.5854728817939758,2.093919277191162,0.03626717172543873,1.4404863113048239
25,KEGG_BUTANOATE_METABOLISM,0.6004825234413147,1.417089819908142,0.15645666851597115,0.8056059215688016
