,source,estimate,norm,pvals,log10_pval
0,KEGG_ABC_TRANSPORTERS,-0.28409770131111145,-0.8308970928192139,0.4060317661271554,0.3914399878167524
1,KEGG_ACUTE_MYELOID_LEUKEMIA,-0.41891413927078247,-1.5460978746414185,0.12208093202194302,0.9133521637728632
2,KEGG_ADHERENS_JUNCTION,-0.5106598734855652,-1.6303590536117554,0.10302563332448114,0.987054707077754
3,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.5985783338546753,1.547167181968689,0.12182293733666558,0.914270933206572
4,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,-0.6949924826622009,-1.4982006549835205,0.13408112553009469,0.8726323530585355
5,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,-0.5389000177383423,-1.7385201454162598,0.08211920353603931,1.085555271449285
6,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,-0.4481717348098755,-1.1517293453216553,0.24943230957607176,0.6030472919891116
7,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.910356342792511,1.9281730651855469,0.05383360326171921,1.2689465504405049
8,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,-0.48756301403045654,-1.7123537063598633,0.0868315048660507,1.0613226722082496
9,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,-0.9405227303504944,-1.895376205444336,0.05804257875261378,1.236253300694134
10,KEGG_APOPTOSIS,-0.3713708519935608,-1.3703653812408447,0.17057287300297297,0.7680900355475799
11,KEGG_ARACHIDONIC_ACID_METABOLISM,-0.7409256100654602,-1.193353533744812,0.2327309447921987,0.6331458674266542
12,KEGG_ARGININE_AND_PROLINE_METABOLISM,-0.40678316354751587,-0.9202004671096802,0.3574680102699326,0.44676281703735193
13,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,-0.6803867220878601,-1.541232943534851,0.12326010239555492,0.9091774758248307
14,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,-0.7318011522293091,-1.4942928552627563,0.13509909175918058,0.8693475706323143
15,KEGG_BASAL_CELL_CARCINOMA,0.4352603554725647,1.012864112854004,0.3111250719682228,0.5070649899240545
16,KEGG_BASAL_TRANSCRIPTION_FACTORS,-0.6660316586494446,-2.0037434101104736,0.045097553569798034,1.3458470168793513
17,KEGG_BASE_EXCISION_REPAIR,0.3823463022708893,0.9908084869384766,0.3217791043578738,0.49244216146979175
18,KEGG_BETA_ALANINE_METABOLISM,-0.7174010276794434,-1.6594507694244385,0.09702499312947106,1.0131163793411855
19,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.9067472219467163,1.310446858406067,0.19004471052902328,0.7211442135116832
20,KEGG_BLADDER_CANCER,0.604262113571167,1.2189021110534668,0.22288134834345819,0.6519262736033837
21,KEGG_BUTANOATE_METABOLISM,0.3841075003147125,0.954825758934021,0.33966581868768353,0.46894815493223363
22,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,-0.5277470350265503,-2.321155071258545,0.020278476034321487,1.692964686160881
23,KEGG_CARDIAC_MUSCLE_CONTRACTION,-0.6382713317871094,-2.312826633453369,0.02073217284036068,1.6833551791831722
24,KEGG_CHRONIC_MYELOID_LEUKEMIA,-0.5426276326179504,-2.414564609527588,0.015754028654789556,1.8026083689336272
25,KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.7764021754264832,1.9662386178970337,0.049271053528123464,1.307408151413768
26,KEGG_CITRATE_CYCLE_TCA_CYCLE,-0.65821373462677,-1.9771738052368164,0.0480219874577708,1.3185598700165706
27,KEGG_COLORECTAL_CANCER,-0.47105666995048523,-1.9013769626617432,0.05725265480673412,1.2422043702774515
28,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,-0.5204272270202637,-1.6535792350769043,0.09821303464246181,1.0078308696710128
